,gene,pvalue,effet
3002,ECH3937_v6b_ABF-0019125,4.10116385296533e-13,Activation
4056,ECH3937_v6b_ABF-0020690,4.11892742135933e-13,Activation
4405,ECH3937_v6b_ABF-0046982,4.2810199829546e-13,Activation
2070,ECH3937_v6b_ABF-0017749,4.67181848762266e-13,Activation
865,ECH3937_v6b_ABF-0015929,4.71622740860766e-13,Activation
3006,ECH3937_v6b_ABF-0019133,4.72955008490317e-13,Activation
1470,ECH3937_v6b_ABF-0016856,4.76729766774042e-13,Activation
3138,ECH3937_v6b_ABF-0019329,5.04041253179821e-13,Activation
2137,ECH3937_v6b_ABF-0017842,5.08260100673397e-13,Activation
2033,ECH3937_v6b_ABF-0017702,5.16475751055623e-13,Activation
4051,ECH3937_v6b_ABF-0020681,5.29354338141275e-13,Activation
3099,ECH3937_v6b_ABF-0019271,5.38236122338276e-13,Activation
777,ECH3937_v6b_ABF-0015823,5.38680211548126e-13,Activation
4431,ECH3937_v6b_ABF-0047026,5.42010880622001e-13,Activation
1170,ECH3937_v6b_ABF-0016400,5.44009282066327e-13,Activation
417,ECH3937_v6b_ABF-0015188,5.50226531004228e-13,Activation
4106,ECH3937_v6b_ABF-0020766,5.53557200078103e-13,Activation
2453,ECH3937_v6b_ABF-0018312,5.79536418854332e-13,Activation
3024,ECH3937_v6b_ABF-0019159,5.93747273569534e-13,Activation
2481,ECH3937_v6b_ABF-0018346,5.96855898038484e-13,Activation
1487,ECH3937_v6b_ABF-0016891,5.99964522507435e-13,Activation
704,ECH3937_v6b_ABF-0015706,6.02184968556685e-13,Activation
943,ECH3937_v6b_ABF-0016042,6.17284001691587e-13,Activation
1146,ECH3937_v6b_ABF-0016359,6.19948536950687e-13,Activation
1660,ECH3937_v6b_ABF-0017150,6.21724893790088e-13,Activation
2612,ECH3937_v6b_ABF-0018532,6.22168982999938e-13,Activation
3025,ECH3937_v6b_ABF-0019160,6.23501250629488e-13,Activation
1628,ECH3937_v6b_ABF-0017103,6.27942142727989e-13,Activation
736,ECH3937_v6b_ABF-0015747,6.29274410357539e-13,Activation
4329,ECH3937_v6b_ABF-0046840,6.53255227689442e-13,Activation
1630,ECH3937_v6b_ABF-0017106,6.67021993194794e-13,Activation
406,ECH3937_v6b_ABF-0015173,6.68132216219419e-13,Repression
62,ECH3937_v6b_ABF-0014597,6.70130617663744e-13,Activation
2435,ECH3937_v6b_ABF-0018272,6.7257310831792e-13,Activation
882,ECH3937_v6b_ABF-0015953,6.75903777391795e-13,Activation
2908,ECH3937_v6b_ABF-0018976,6.80344669490296e-13,Activation
4075,ECH3937_v6b_ABF-0020718,6.83453293959246e-13,Activation
2618,ECH3937_v6b_ABF-0018540,6.86117829218347e-13,Activation
3046,ECH3937_v6b_ABF-0019190,6.96998014859673e-13,Activation
4016,ECH3937_v6b_ABF-0020625,7.13873404833976e-13,Activation
3154,ECH3937_v6b_ABF-0019357,7.47846229387505e-13,Activation
324,ECH3937_v6b_ABF-0015050,7.59614593448532e-13,Activation
3730,ECH3937_v6b_ABF-0020222,7.63389351732258e-13,Activation
2143,ECH3937_v6b_ABF-0017852,7.63833440942108e-13,Activation
3047,ECH3937_v6b_ABF-0019191,8.00248756149813e-13,Activation
2165,ECH3937_v6b_ABF-0017880,8.10906897186214e-13,Activation
3841,ECH3937_v6b_ABF-0020389,8.1779027993889e-13,Activation
4454,ECH3937_v6b_ABF-0047068,8.35331803727968e-13,Activation
742,ECH3937_v6b_ABF-0015754,8.39772695826468e-13,Activation
690,ECH3937_v6b_ABF-0015686,8.5220719370227e-13,Activation
3608,ECH3937_v6b_ABF-0020041,8.5265128291212e-13,Activation
1762,ECH3937_v6b_ABF-0017285,8.53317416726895e-13,Activation
4050,ECH3937_v6b_ABF-0020680,8.87734330490275e-13,Activation
