,gene,pvalue,effet
2777,ECH3937_v6b_ABF-0018773,0,Repression
2788,ECH3937_v6b_ABF-0018791,0,Activation
2792,ECH3937_v6b_ABF-0018801,0,Repression
2813,ECH3937_v6b_ABF-0018829,0,Repression
2817,ECH3937_v6b_ABF-0018840,0,Repression
2819,ECH3937_v6b_ABF-0018842,0,Repression
2820,ECH3937_v6b_ABF-0018843,0,Repression
2824,ECH3937_v6b_ABF-0018848,0,Repression
2833,ECH3937_v6b_ABF-0018858,0,Repression
2834,ECH3937_v6b_ABF-0018859,0,Repression
2835,ECH3937_v6b_ABF-0018860,0,Repression
2836,ECH3937_v6b_ABF-0018862,0,Repression
2837,ECH3937_v6b_ABF-0018863,0,Repression
2838,ECH3937_v6b_ABF-0018864,0,Repression
2860,ECH3937_v6b_ABF-0018901,0,Repression
2864,ECH3937_v6b_ABF-0018909,0,Repression
2867,ECH3937_v6b_ABF-0018914,0,Activation
2868,ECH3937_v6b_ABF-0018915,0,Repression
2869,ECH3937_v6b_ABF-0018917,0,Repression
2876,ECH3937_v6b_ABF-0018927,0,Repression
2884,ECH3937_v6b_ABF-0018943,0,Repression
2892,ECH3937_v6b_ABF-0018952,0,Repression
2903,ECH3937_v6b_ABF-0018967,0,Repression
2904,ECH3937_v6b_ABF-0018968,0,Repression
2905,ECH3937_v6b_ABF-0018969,0,Repression
2909,ECH3937_v6b_ABF-0018979,0,Repression
2910,ECH3937_v6b_ABF-0018980,0,Activation
2912,ECH3937_v6b_ABF-0018985,0,Repression
2913,ECH3937_v6b_ABF-0018986,0,Repression
2916,ECH3937_v6b_ABF-0018990,0,Repression
2918,ECH3937_v6b_ABF-0018994,0,Repression
2954,ECH3937_v6b_ABF-0019054,0,Repression
2956,ECH3937_v6b_ABF-0019057,0,Repression
2957,ECH3937_v6b_ABF-0019058,0,Repression
2959,ECH3937_v6b_ABF-0019060,0,Repression
2960,ECH3937_v6b_ABF-0019061,0,Repression
2967,ECH3937_v6b_ABF-0019072,0,Repression
3012,ECH3937_v6b_ABF-0019143,0,Repression
3014,ECH3937_v6b_ABF-0019145,0,Repression
3022,ECH3937_v6b_ABF-0019155,0,Repression
3023,ECH3937_v6b_ABF-0019156,0,Repression
3034,ECH3937_v6b_ABF-0019170,0,Repression
3077,ECH3937_v6b_ABF-0019239,0,Repression
3089,ECH3937_v6b_ABF-0019259,0,Repression
3111,ECH3937_v6b_ABF-0019290,0,Repression
3115,ECH3937_v6b_ABF-0019295,0,Repression
3122,ECH3937_v6b_ABF-0019305,0,Repression
3124,ECH3937_v6b_ABF-0019307,0,Repression
3129,ECH3937_v6b_ABF-0019314,0,Repression
3134,ECH3937_v6b_ABF-0019323,0,Activation
3179,ECH3937_v6b_ABF-0019388,0,Repression
3181,ECH3937_v6b_ABF-0019390,0,Repression
3214,ECH3937_v6b_ABF-0019435,0,Repression
3216,ECH3937_v6b_ABF-0019438,0,Repression
3263,ECH3937_v6b_ABF-0019507,0,Repression
3264,ECH3937_v6b_ABF-0019508,0,Repression
3265,ECH3937_v6b_ABF-0019509,0,Repression
3268,ECH3937_v6b_ABF-0019513,0,Repression
3271,ECH3937_v6b_ABF-0019519,0,Repression
3273,ECH3937_v6b_ABF-0019521,0,Repression
3284,ECH3937_v6b_ABF-0019538,0,Activation
3289,ECH3937_v6b_ABF-0019545,0,Repression
3290,ECH3937_v6b_ABF-0019546,0,Repression
3292,ECH3937_v6b_ABF-0019549,0,Repression
3293,ECH3937_v6b_ABF-0019550,0,Repression
3295,ECH3937_v6b_ABF-0019552,0,Repression
3303,ECH3937_v6b_ABF-0019565,0,Repression
3304,ECH3937_v6b_ABF-0019566,0,Repression
3313,ECH3937_v6b_ABF-0019577,0,Repression
3315,ECH3937_v6b_ABF-0019579,0,Repression
3347,ECH3937_v6b_ABF-0019635,0,Repression
3348,ECH3937_v6b_ABF-0019636,0,Repression
3352,ECH3937_v6b_ABF-0019646,0,Repression
3356,ECH3937_v6b_ABF-0019653,0,Repression
3366,ECH3937_v6b_ABF-0019667,0,Repression
3383,ECH3937_v6b_ABF-0019695,0,Repression
3390,ECH3937_v6b_ABF-0019707,0,Repression
3397,ECH3937_v6b_ABF-0019721,0,Repression
3398,ECH3937_v6b_ABF-0019722,0,Repression
3402,ECH3937_v6b_ABF-0019728,0,Repression
3403,ECH3937_v6b_ABF-0019729,0,Repression
3404,ECH3937_v6b_ABF-0019732,0,Repression
3419,ECH3937_v6b_ABF-0019758,0,Repression
3421,ECH3937_v6b_ABF-0019761,0,Activation
3431,ECH3937_v6b_ABF-0019779,0,Repression
3459,ECH3937_v6b_ABF-0019825,0,Repression
3466,ECH3937_v6b_ABF-0019839,0,Repression
3469,ECH3937_v6b_ABF-0019842,0,Repression
3482,ECH3937_v6b_ABF-0019861,0,Repression
3483,ECH3937_v6b_ABF-0019862,0,Repression
3484,ECH3937_v6b_ABF-0019863,0,Repression
3485,ECH3937_v6b_ABF-0019864,0,Repression
3504,ECH3937_v6b_ABF-0019897,0,Repression
3511,ECH3937_v6b_ABF-0019909,0,Activation
3516,ECH3937_v6b_ABF-0019916,0,Repression
3529,ECH3937_v6b_ABF-0019933,0,Repression
3535,ECH3937_v6b_ABF-0019943,0,Repression
3540,ECH3937_v6b_ABF-0019948,0,Repression
3541,ECH3937_v6b_ABF-0019949,0,Repression
3543,ECH3937_v6b_ABF-0019951,0,Repression
3544,ECH3937_v6b_ABF-0019952,0,Repression
3545,ECH3937_v6b_ABF-0019957,0,Repression
3548,ECH3937_v6b_ABF-0019960,0,Repression
3549,ECH3937_v6b_ABF-0019961,0,Repression
3551,ECH3937_v6b_ABF-0019963,0,Repression
3562,ECH3937_v6b_ABF-0019979,0,Repression
3563,ECH3937_v6b_ABF-0019981,0,Repression
3598,ECH3937_v6b_ABF-0020028,0,Repression
3599,ECH3937_v6b_ABF-0020029,0,Repression
3600,ECH3937_v6b_ABF-0020030,0,Repression
3623,ECH3937_v6b_ABF-0020062,0,Repression
